location,store,item,price,category
vit,tealeaf,dum tea,10,tea
vit,tealeaf,bellam tea,15,tea
vit,tealeaf,ginger tea,15,tea
vit,tealeaf,masala tea,15,tea
vit,tealeaf,sugar less tea,10,tea
vit,tealeaf,lemon tea,15,tea
vit,tealeaf,ginger lemon tea,20,tea
vit,tealeaf,badam milk,20,tea
vit,tealeaf,kulad chai,20,tea
vit,tealeaf,coffee,15,tea
vit,tealeaf,green tea,15,tea
vit,tealeaf,hot chocolate,20,tea
vit,tealeaf,samosa,5,veg
vit,tealeaf,egg puff,20,veg
vit,tealeaf,veg puff,15,veg
vit,tealeaf,fruit biscuits,8,veg
vit,tealeaf,osmania biscuits,5,veg
vit,tealeaf,vanila shake,60,shakes
vit,tealeaf,chocolate shake,60,shakes
vit,tealeaf,strawberry shake,60,shakes
vit,tealeaf,oreo shake,60,shakes
vit,tealeaf,kitkat shake,60,shakes
vit,tealeaf,butterscotch shake,60,shakes
vit,tealeaf,mango milk shake,60,shakes
vit,tealeaf,caramel shake,60,shakes
vit,tealeaf,rose milk,50,shakes
vit,tealeaf,lime mint cooler,50,shakes
vit,tealeaf,fizi mojito,55,shakes
vit,tealeaf,cold coffee,60,shakes
vit,tealeaf,rose milk,50,shakes
vit,tealeaf,ginger lemon ice tea,50,shakes
vit,tealeaf,lassi,40,shakes
vit,tealeaf,matka lassi,50,shakes
vit,tealeaf,mango lassi,50,shakes
vit,maggie point,maggie,50,veg
vit,maggie point,sweet corn35,35,veg
vit,tiffin centre,mysore bajji,10,tiffins
vit,tiffin centre,minpa bajji,10,tiffins
vit,tiffin centre,uttapam,35,tiffins
vit,tiffin centre,puri,45,tiffins
vit,tiffin centre,chapati,40,tiffins
vit,tiffin centre,egg chapati,50,tiffins
vit,tiffin centre,gari,40,tiffins
vit,lake view canteen,egg puff,25,veg
vit,lake view canteen,veg puff,20,veg
vit,lake view canteen,chicken puff,35,non veg
vit,lake view canteen,chicken samosa,25,non veg
vit,lake view canteen,chicken roll,50,non veg
vit,lake view canteen,paneer roll,45,veg
vit,lake view canteen,red velvet cup cake,35,cake
vit,lake view canteen,chocolate cupcake,35,cake
vit,lake view canteen,black forest pastry,60,cake
vit,lake view canteen,red velvet pastry,70,cake
vit,lake view canteen,butter scotch pastry,60,cake
vit,lake view canteen,chocolate caramel pastry,60,cake
vit,lake view canteen,oreo pastry,60,cake
vit,lake view canteen,lava cake,55,cake
vit,lake view canteen,walnet brownie,45,cake
vit,lake view canteen,chocolate pudding,50,cake
vit,lake view canteen,sweet corn roll,35,veg
vit,lake view canteen,chicken kabab,60,non veg
vit,lake view canteen,veg sandwich,80,veg
vit,lake view canteen,junnu,35,veg
vit,lake view canteen,coke,20,drinks
vit,lake view canteen,fanta,20,drinks
vit,lake view canteen,thumbsup,20,drinks
vit,lake view canteen,artos sweet,15,drinks
vit,lake view canteen,artos salt,15,drinks
vit,lake view canteen,limca,20,drinks
vit,lake view canteen,minute maid,20,drinks
vit,tandoori,chicken shawarma,100,non veg
vit,tandoori,chicken curry,120,non veg
vit,tandoori,paneer curry,60,veg
vit,tandoori,butter naan,45,veg
vit,amul ice creams,bar,15,icecreams
vit,amul ice creams,bar,35,icecreams
vit,amul ice creams,cups,35,icecreams
vit,amul ice creams,cups,45,icecreams
vit,amul ice creams,cones,35,icecreams
vit,amul ice creams,cones,45,icecreams
vit,amul ice creams,cones,55,icecreams
vit,amul ice creams,tru juice,10,juice
vit,amul ice creams,butter milk,10,juice
svecw,maggie point,maggie,50,veg
svecw,yummy,fried chicken [2p],150,non veg
svecw,yummy,chicken strips[4p],150,non veg
svecw,yummy,chicken lollipops[5p],150,non veg
svecw,yummy,chicken lollipops[3p],100,non veg
svecw,yummy,chicken poppers[large],150,non veg
svecw,yummy,chicken poppers[small],100,non veg
svecw,yummy,chicken wings[4p],80,non veg
svecw,yummy,chicken burger,80,non veg
svecw,yummy,chicken sandwich,70,non veg
svecw,yummy,veg burger,60,veg
svecw,yummy,veg sandwich,50,veg
svecw,yummy,corn samosa,60,veg
svecw,yummy,french fries,80,veg
svecw,yummy,veg balls,80,veg
svecw,yummy,veg sticks,60,veg
svecw,yummy,veg patty,60,veg
svecw,yummy,myonnaise,10,veg
svecw,central square,egg puff,25,veg
svecw,central square,veg puff,20,veg
svecw,central square,chicken puff,35,non veg
svecw,central square,chicken samosa,25,non veg
svecw,central square,chicken roll,50,non veg
svecw,central square,paneer roll,45,veg
svecw,central square,red velvet cup cake,35,cake
svecw,central square,chocolate cupcake,35,cake
svecw,central square,black forest pastry,60,cake
svecw,central square,red velvet pastry,70,cake
svecw,central square,butter scotch pastry,60,cake
svecw,central square,chocolate caramel pastry,60,cake
svecw,central square,oreo pastry,60,cake
svecw,central square,lava cake,55,cake
svecw,central square,walnet brownie,45,cake
svecw,central square,chocolate pudding,50,cake
svecw,central square,sweet corn roll,35,veg
svecw,central square,chicken kabab,60,non veg
svecw,central square,veg sandwich,80,veg
svecw,central square,junnu,35,veg
svecw,central square,coke,20,drinks
svecw,central square,fanta,20,drinks
svecw,central square,thumbsup,20,drinks
svecw,central square,artos sweet,15,drinks
svecw,central square,artos salt,15,drinks
svecw,central square,limca,20,drinks
svecw,central square,minute maid,20,drinks
svecw,tiffin centre,single puri,20,tiffins
svecw,tiffin centre,single vada,20,tiffins
svecw,tiffin centre,mysoore bajji,30,tiffins
svecw,tiffin centre,ravva punuku,30,tiffins
svecw,tiffin centre,chapati,40,tiffins
svecw,tiffin centre,egg chapati,50,tiffins
svecw,tiffin centre,plain dosa,30,tiffins
svecw,tiffin centre,onion dosa,35,tiffins
svecw,tiffin centre,masala dosa,45,tiffins
svecw,tiffin centre,ravva dosa,40,tiffins
svecw,tiffin centre,egg dosa,50,tiffins
svecw,tiffin centre,uttapam,40,tiffins
svecw,tiffin centre,mirchi bajji,20,tiffins
svecw,tiffin centre,challa punugulu,20,tiffins
svecw,tiffin centre,onion pakoda,30,tiffins
svecw,tiffin centre,egg bajji,20,tiffins
svecw,tealeaf,dum tea,10,tea
svecw,tealeaf,bellam tea,15,tea
svecw,tealeaf,ginger tea,15,tea
svecw,tealeaf,masala tea,15,tea
svecw,tealeaf,sugar less tea,10,tea
svecw,tealeaf,lemon tea,15,tea
svecw,tealeaf,ginger lemon tea,20,tea
svecw,tealeaf,badam milk,20,tea
svecw,tealeaf,kulad chai,20,tea
svecw,tealeaf,coffee,15,tea
svecw,tealeaf,green tea,15,tea
svecw,tealeaf,hot chocolate,20,tea
svecw,tealeaf,samosa,5,veg
svecw,tealeaf,egg puff,20,veg
svecw,tealeaf,veg puff,15,veg
svecw,tealeaf,fruit biscuits,8,tea
svecw,tealeaf,osmania biscuits,5,tea
svecw,tealeaf,vanila shake,60,shakes
svecw,tealeaf,chocolate shake,60,shakes
svecw,tealeaf,strawberry shake,60,shakes
svecw,tealeaf,oreo shake,60,shakes
svecw,tealeaf,kitkat shake,60,shakes
svecw,tealeaf,butterscotch shake,60,shakes
svecw,tealeaf,mango milk shake,60,shakes
svecw,tealeaf,caramel shake,60,shakes
svecw,tealeaf,rose milk,50,shakes
svecw,tealeaf,lime mint cooler,50,shakes
svecw,tealeaf,fizi mojito,55,shakes
svecw,tealeaf,cold coffee,60,shakes
svecw,tealeaf,rose milk,50,shakes
svecw,tealeaf,ginger lemon ice tea,50,shakes
svecw,tealeaf,lassi,40,shakes
svecw,tealeaf,matka lassi,50,shakes
svecw,tealeaf,mango lassi,50,shakes
svecw,tandoori,chicken shawarma,100,non veg
svecw,tandoori,chicken curry,120,non veg
svecw,tandoori,paneer curry,60,veg
svecw,tandoori,butter naan,45,veg
svecw,amul ice creams,bar,15,icecreams
svecw,amul ice creams,bar,35,icecreams
svecw,amul ice creams,cups,35,icecreams
svecw,amul ice creams,cups,45,icecreams
svecw,amul ice creams,cones,35,icecreams
svecw,amul ice creams,cones,45,icecreams
svecw,amul ice creams,cones,55,icecreams
svecw,amul ice creams,tru juice,10,icecreams
svecw,amul ice creams,butter milk,10,icecreams
svecw,temple square,egg puff,25,veg
svecw,temple square,veg puff,20,veg
svecw,temple square,chicken puff,35,non veg
svecw,temple square,chicken samosa,25,non veg
svecw,temple square,chicken roll,50,non veg
svecw,temple square,paneer roll,45,veg
svecw,temple square,red velvet cup cake,35,cake
svecw,temple square,chocolate cupcake,35,cake
svecw,temple square,black forest pastry,60,cake
svecw,temple square,red velvet pastry,70,cake
svecw,temple square,butter scotch pastry,60,cake
svecw,temple square,chocolate caramel pastry,60,cake
svecw,temple square,oreo pastry,60,cake
svecw,temple square,lava cake,55,cake
svecw,temple square,walnet brownie,45,cake
svecw,temple square,chocolate pudding,50,cake
